category,살 때(3.75g),팔 때(3.75g)
Mon Jul 15 2024,450000,395000
Sat Jul 13 2024,450000,393000
Fri Jul 12 2024,450000,393000
Thu Jul 11 2024,445000,391000
Wed Jul 10 2024,445000,391000
Tue Jul 09 2024,444000,389000
Mon Jul 08 2024,446000,390000
Sat Jul 06 2024,447000,389000
Fri Jul 05 2024,442000,387000
Thu Jul 04 2024,443000,386000
Wed Jul 03 2024,442000,385000
Tue Jul 02 2024,440000,385000
Mon Jul 01 2024,436000,384000
Sat Jun 29 2024,437000,384000
Fri Jun 28 2024,438000,384000
Thu Jun 27 2024,435000,383000
Wed Jun 26 2024,438000,385000
Tue Jun 25 2024,438000,387000
Mon Jun 24 2024,438000,387000
Sat Jun 22 2024,438000,384000
Fri Jun 21 2024,446000,388000
Thu Jun 20 2024,441000,387000
Wed Jun 19 2024,437000,385000
Tue Jun 18 2024,435000,385000
Mon Jun 17 2024,436000,385000
Sat Jun 15 2024,439000,384000
Fri Jun 14 2024,433000,383000
Thu Jun 13 2024,431000,383000
Wed Jun 12 2024,434000,383000
Tue Jun 11 2024,432000,382000
Mon Jun 10 2024,430000,382000
Sat Jun 08 2024,431000,382000
Fri Jun 07 2024,441000,385000
Thu Jun 06 2024,440000,385000
Wed Jun 05 2024,435000,383000
Tue Jun 04 2024,438000,384000
Mon Jun 03 2024,436000,383000
Sat Jun 01 2024,438000,385000
Fri May 31 2024,439000,385000
Thu May 30 2024,436000,384000
Wed May 29 2024,437000,385000
Tue May 28 2024,435000,385000
Mon May 27 2024,434000,383000
Sat May 25 2024,434000,380000
Fri May 24 2024,435000,380000
Thu May 23 2024,442000,381000
Wed May 22 2024,448000,386000
Tue May 21 2024,449000,389000
Mon May 20 2024,450000,388000
Sat May 18 2024,444000,385000
Fri May 17 2024,438000,384000
Thu May 16 2024,437000,383000
Wed May 15 2024,437000,381000
Tue May 14 2024,434000,381000
Mon May 13 2024,438000,384000
Sat May 11 2024,440000,384000
Fri May 10 2024,437000,383000
Thu May 09 2024,429000,378000
Wed May 08 2024,430000,378000
Tue May 07 2024,429000,376000
Mon May 06 2024,427000,370000
Sat May 04 2024,425000,369000
Fri May 03 2024,428000,373000
Thu May 02 2024,434000,378000
Wed May 01 2024,431000,380000
Tue Apr 30 2024,436000,380000
Mon Apr 29 2024,436000,386000
Sat Apr 27 2024,438000,388000
Fri Apr 26 2024,436000,388000
Thu Apr 25 2024,434000,388000
Wed Apr 24 2024,432000,388000
Tue Apr 23 2024,431000,388000
Mon Apr 22 2024,443000,400000
Sat Apr 20 2024,447000,403000
Fri Apr 19 2024,447000,402000
Thu Apr 18 2024,443000,399000
Wed Apr 17 2024,447000,400000
Tue Apr 16 2024,451000,393000
Mon Apr 15 2024,442000,390000
Sat Apr 13 2024,440000,389000
Fri Apr 12 2024,447000,389000
Thu Apr 11 2024,435000,386000
Wed Apr 10 2024,431000,385000
Tue Apr 09 2024,432000,384000
Mon Apr 08 2024,431000,381000
Sat Apr 06 2024,430000,379000
Fri Apr 05 2024,422000,379000
Thu Apr 04 2024,423000,378000
Wed Apr 03 2024,421000,377000
Tue Apr 02 2024,417000,367000
Mon Apr 01 2024,415000,373000
Sat Mar 30 2024,410000,366000
Fri Mar 29 2024,410000,366000
Thu Mar 28 2024,403000,368000
Wed Mar 27 2024,400000,360000
Tue Mar 26 2024,396000,359000
Mon Mar 25 2024,397000,358000
Sat Mar 23 2024,398000,357000
Fri Mar 22 2024,397000,357000
Thu Mar 21 2024,399000,356000
Wed Mar 20 2024,394000,353000
Tue Mar 19 2024,395000,353000
Mon Mar 18 2024,390000,351000
Sat Mar 16 2024,392000,351000
Fri Mar 15 2024,394000,351000
Thu Mar 14 2024,390000,348000
Wed Mar 13 2024,387000,347000
Tue Mar 12 2024,391000,346000
